New Zoning,Old Zoning,New maximum residency,Old maximum residency,New maximum sqft.,Old maximum sqft.,Distance to Closest Rapid Transit (meters)
CMX-1,C1 COM1,2.35,2.35,5701.2947969974875,5701.2947969974875,958.3524473646429
RSA-5,R10A RES2,65.8,65.8,87682.7816950218,87682.7816950218,210.18488904621063
ICMX,L4 IND1,869.5,869.5,391025.42878859764,391025.42878859764,466.794685458039
RM-1,C2 COM1,54.050000000000004,77.55,24263.682731197907,34662.403901711295,400.2093568316974
RM-1,R10 RES3,263.2,267.90000000000003,118115.28650351978,119633.91161570791,846.6436761037106
CMX-2,C2 COM1,232.65,232.65,103874.96610185271,103874.96610185271,401.2034140441091
RM-1,R10 RES3,68.15,68.15,30081.865710235368,30468.632555081254,95.23312715055698
RSA-5,R10A RES2,75.2,75.2,98189.40998246732,98189.40998246732,1635.922797136148
RM-1,R10 RES3,47.0,47.0,20439.80198696652,20702.599441084665,786.7253757129414
CMX-1,C1 COM1,2.35,2.35,2476.642219533103,2476.642219533103,1635.0336225421827
RSA-5,R10A RES2,94.0,94.0,123844.05401403544,123844.05401403544,1753.9263293711435
CMX-1,C1 COM1,2.35,2.35,2827.434159400328,2827.434159400328,1620.883742499742
RSA-5,R10A RES2,61.1,61.1,82526.62765750062,82526.62765750062,1595.9489042455377
CMX-4,C4 COM5,535.8000000000001,535.8000000000001,240155.2289657402,240155.2289657402,84.75474097541925
RM-4,R15 RES5,319.6,319.6,143142.1667679905,143142.1667679905,431.0387598474576
RM-1,R10 RES3,131.6,133.95000000000002,59023.90714838912,59782.78595458271,898.9584924745301
CMX-2,C2 COM1,7.050000000000001,7.050000000000001,2891.4002675600327,2891.4002675600327,831.8165729069169
RM-1,R10 RES3,103.4,103.4,45789.65984386473,46378.38404185729,722.0864827622629
CMX-2,C2 COM1,7.050000000000001,7.050000000000001,2204.2804248284697,2204.2804248284697,851.8938501497065
CMX-2,C2 COM1,124.55000000000001,124.55000000000001,55124.46871697503,55124.46871697503,592.2750145858129
CMX-2,C2 COM1,9.4,9.4,3726.222470552928,3726.222470552928,929.5749677885136
RSA-5,R10A RES2,75.2,75.2,98755.14800583613,98755.14800583613,1549.8159121170604
CMX-2,C2 COM1,7.050000000000001,7.050000000000001,2847.28838399567,2847.28838399567,781.7544257171129
CMX-2,C2 COM1,291.40000000000003,291.40000000000003,130295.6039611167,130295.6039611167,896.5148488938431
CMX-2,C2 COM1,9.4,9.4,3487.3126865840227,3487.3126865840227,874.7110626678598
RM-1,R10 RES3,28.200000000000003,28.200000000000003,12491.864961366264,12652.474653726687,1502.8692967794125
CMX-2,C2 COM1,180.95000000000002,180.95000000000002,80440.69033233251,80440.69033233251,970.831115959487
RSA-5,R10A RES2,28.200000000000003,28.200000000000003,36947.989598234024,36947.989598234024,621.3245936006415
RM-2,R12 RES4,70.5,70.5,31491.861548241493,31491.861548241493,327.0860291694167
RM-1,R10 RES3,39.95,39.95,17234.51121782443,17456.097790625034,1462.2889211038123
CMX-2,C2 COM1,32.9,32.9,13908.355770439,13908.355770439,700.6336241790257
I-2,G2 IND3,0.0,0.0,114237.00508818038,114237.00508818038,902.5911354132976
RM-4,R15 RES5,585.15,585.15,262690.1675478886,262690.1675478886,296.0227886264687
RM-1,R10 RES3,115.15,117.5,51793.689477215106,52459.60834192217,836.4882451839017
RSA-5,R10A RES2,75.2,75.2,100716.48147137507,100716.48147137507,1414.1301157344778
RSA-5,R10A RES2,25.85,25.85,35439.25484178655,35439.25484178655,272.47308139451906
RM-1,R10 RES3,173.9,176.25,77529.30747920676,78526.11286108228,839.1944458655117
RSA-5,R10A RES2,56.400000000000006,56.400000000000006,75744.40752548189,75744.40752548189,1504.6277355227437
RSA-5,R10A RES2,72.85000000000001,72.85000000000001,96953.78873187273,96953.78873187273,1364.296370408226
CMX-2,C2 COM1,23.5,23.5,10292.671162656907,10292.671162656907,848.5459602774789
CMX-2.5,C2 COM1,517.0,413.6,231938.9045171321,185551.12361370568,542.0074705098867
RM-1,R10 RES3,18.8,18.8,7808.163656982453,7908.554332572228,1361.8868805401905
CMX-2,C2 COM1,9.4,9.4,3854.5712901091874,3854.5712901091874,818.3154552549029
RM-1,R10 RES3,129.25,131.6,57975.80327376699,58721.20645871543,799.9198138733142
CMX-2,C2 COM1,310.2,310.2,139245.6935174784,139245.6935174784,768.3235118422868
RM-1,R10 RES3,35.25,35.25,14824.904813019544,15015.510732044084,1324.3061952154885
CMX-2,C2 COM1,77.55,77.55,34416.467877616626,34416.467877616626,305.4773816151034
RM-1,R10 RES3,197.4,199.75,88267.68528959414,89402.55552903179,859.1025415713144
CMX-2,C2 COM1,49.35,49.35,21157.531499389617,21157.531499389617,729.7173530404724
RSA-5,R9A RES2,105.75,105.75,139457.46978196246,139457.46978196246,114.49876545674363
RM-1,R10 RES3,47.0,47.0,20768.0504290821,21035.068220313162,1406.9357675712586
RSA-5,R10A RES2,21.150000000000002,21.150000000000002,30492.539897772287,30492.539897772287,1351.8699843335048
CMX-2,C2 COM1,56.400000000000006,56.400000000000006,24967.54382279417,24967.54382279417,835.8875354544009
RM-1,C2 COM1,420.65000000000003,601.6,189087.27511093148,270124.67872990214,896.4406300268635
CMX-2,C2 COM1,131.6,131.6,58190.77619517255,58190.77619517255,1754.0775088682158
CMX-1,C1 COM1,2.35,2.35,2884.465915299537,2884.465915299537,1345.636740673095
RSA-5,R10A RES2,44.65,44.65,60093.07513055598,60093.07513055598,1312.7443801265356
CMX-2,C2 COM1,16.45,16.45,6581.2126432685,6581.2126432685,861.6936279352624
RSA-5,R9A RES2,105.75,105.75,140031.08125336442,140031.08125336442,326.18783469628767
CMX-2,C2 COM1,9.4,9.4,3937.356579934156,3937.356579934156,328.8291573373496
CMX-1,C1 COM1,4.7,4.7,7228.666498765166,7228.666498765166,1157.58241633754
CMX-1,C1 COM1,2.35,2.35,2728.52623857478,2728.52623857478,1307.2153210297774
CMX-2,C2 COM1,63.45,63.45,28097.76895803135,28097.76895803135,767.7564377430896
RSA-5,R10A RES2,58.75,58.75,77618.32167723236,77618.32167723236,1269.3253578888482
RM-1,C2 COM1,9.4,11.75,3219.4305989967115,4599.186569995301,216.63957750845506
CMX-2,C2 COM1,96.35000000000001,96.35000000000001,43305.45018039208,43305.45018039208,247.01174062722524
RSA-5,R10A RES2,136.3,136.3,177848.29158921065,177848.29158921065,1181.4691431967112
CMX-2,C2 COM1,84.60000000000001,84.60000000000001,37164.828726618536,37164.828726618536,312.4523628225997
RSA-5,R9A RES2,112.80000000000001,112.80000000000001,147071.09310471234,147071.09310471234,393.55047072267246
RSA-5,R10A RES2,68.15,68.15,88931.50222833356,88931.50222833356,835.9093215896675
I-2,G2 IND3,0.0,0.0,330148.2740951339,330148.2740951339,730.3175589804061
RM-2,R13 RES4,251.45000000000002,540.5,113105.93358219806,242369.8576761387,894.9517274774092
CMX-1,C1 COM1,2.35,2.35,5018.462493528073,5018.462493528073,1081.3535227544617
RSA-5,R10A RES2,79.9,79.9,106529.71921401155,106529.71921401155,768.3143433685435
RSA-5,R9A RES2,65.8,65.8,86064.44193469049,86064.44193469049,460.32675341941484
RSA-5,R10A RES2,75.2,75.2,100021.21116303735,100021.21116303735,547.0204871970535
RSA-5,R10A RES2,47.0,47.0,61944.76323096436,61944.76323096436,437.0663485699311
CMX-2,C2 COM1,9.4,9.4,3239.8552568288105,3239.8552568288105,763.3844359793275
IRMX,C2 COM1,300.8,180.95000000000002,134657.79425285978,80794.67655171586,128.30063023983612
RSA-5,R10A RES2,25.85,25.85,35095.68454629832,35095.68454629832,1622.3966874262267
RSA-5,G2 IND3,39.95,0.0,54432.76929384745,127956.67440960847,89.0975787163955
RSA-5,R9A RES2,58.75,58.75,77379.0617839818,77379.0617839818,297.82582215658346
CMX-2,C2 COM1,7.050000000000001,7.050000000000001,3011.4696119405717,3011.4696119405717,746.3072791895821
CMX-4,C4 COM5,1398.25,1398.25,629159.794865179,629159.794865179,104.88584926605017
CMX-2,C2 COM1,173.9,173.9,78019.55512211638,78019.55512211638,408.7473895163779
RM-1,R10 RES3,138.65,141.0,62152.67186364526,62951.77764474927,341.5214683095544
RM-1,R10 RES3,103.4,105.75,46019.63004700349,46611.311004750685,741.8533337674597
RMX-3,RC4 RES6,420.65000000000003,350.15000000000003,188614.35889815268,157178.63241512724,145.7853156962413
RSA-5,R10A RES2,58.75,58.75,77931.32889024066,77931.32889024066,806.9804532067027
CMX-4,C4 COM5,893.0,893.0,401026.78888876305,401026.78888876305,434.4288796492531
RSA-5,R10A RES2,61.1,61.1,80669.05495658675,80669.05495658675,467.90045865957273
RSA-5,R10A RES2,16.45,16.45,23829.137704122044,23829.137704122044,164.7739228056317
CMX-3,C3 COM5,1433.5,1433.5,644704.0248011525,644704.0248011525,349.1858570825445
RM-4,R16 RES5,430.05,615.7,193373.40549684546,276247.72213835065,148.85561600414778
RSA-5,R9A RES2,103.4,103.4,135387.58688211613,135387.58688211613,2779.6900208316056
RSA-3,R5 RES2,54.050000000000004,54.050000000000004,78005.15162919776,78005.15162919776,4600.318006206959
RSD-3,R2 RES1,484.1,484.1,929316.9190107344,929316.9190107344,8801.666267894487
RSD-3,R2 RES1,183.3,183.3,352635.8307972563,352635.8307972563,7549.022209047712
RSA-5,R9A RES2,63.45,63.45,84065.01108675226,84065.01108675226,3151.6813130419564
RSA-5,R9A RES2,91.65,91.65,120669.7668048043,120669.7668048043,2618.6246998390393
RSD-3,R2 RES1,101.05,101.05,195108.39791309083,195108.39791309083,4020.1716942345056
RSA-3,R5 RES2,110.45,110.45,159477.1719930818,159477.1719930818,3640.9640723259668
RSA-5,R9A RES2,211.5,211.5,276200.55810452974,276200.55810452974,2839.5658401454616
RSA-5,R9A RES2,117.5,117.5,154024.4638313198,154024.4638313198,3204.47406667272
RSA-2,R4 RES2,70.5,70.5,115883.62936569945,115883.62936569945,4547.686781348958
CMX-1,C1 COM1,2.35,2.35,5499.90568904316,5499.90568904316,2711.784875563011
RSD-3,R2 RES1,51.7,51.7,101600.4569993171,101600.4569993171,4296.382591670816
RSA-5,R9A RES2,86.95,86.95,113691.49006697698,113691.49006697698,2716.67598737875
RSA-5,R9A RES2,6112.35,6112.35,7969457.63746327,7969457.63746327,1863.6890622328121
RSA-5,R9A RES2,202.1,202.1,265309.03671386576,265309.03671386576,2793.541708576715
RSA-3,R5 RES2,150.4,150.4,218453.3470441918,218453.3470441918,3755.5385157295277
RSA-1,R3 RES2,37.6,37.6,72300.95472931978,72300.95472931978,8064.254422044366
RSA-5,R9A RES2,192.70000000000002,192.70000000000002,253526.06145858904,253526.06145858904,2887.7236906575804
RSA-3,R5 RES2,79.9,79.9,116616.62232863816,116616.62232863816,3926.763395314548
CMX-2,C2 COM1,16.45,16.45,6527.504753283392,6527.504753283392,5506.820770004095
RSA-5,R10A RES2,282.0,282.0,367713.37777779106,367713.37777779106,1285.5458263779021
RM-1,R9 RES3,204.45000000000002,206.8,91422.29454560817,92597.72404690886,5510.335515913278
I-3,LR IND4,0.0,0.0,2732264.0109241707,2732264.0109241707,4511.97966882165
I-2,G2 IND3,0.0,0.0,423579.34332601,423579.34332601,4627.225939022848
I-2,G2 IND3,0.0,0.0,127644.6923656838,127644.6923656838,4447.255065743454
I-2,G2 IND3,0.0,0.0,438829.1495233456,438829.1495233456,4498.29271211742
I-3,LR IND4,0.0,0.0,21392.408391706376,21392.408391706376,4453.51239046451
I-3,LR IND4,0.0,0.0,24803874.911878176,24803874.911878176,1890.4059078097023
I-3,LR IND4,0.0,0.0,179843.15701484424,179843.15701484424,4380.147901596015
RM-1,R10 RES3,117.5,119.85000000000001,52252.67946362725,52924.49962815961,1592.7008891898518
RSA-5,R9A RES2,136.3,136.3,179398.62855080466,179398.62855080466,2956.8516176569156
RSA-5,R9A RES2,32.9,32.9,45344.20423305392,45344.20423305392,2741.7777940803476
RSA-5,R9A RES2,105.75,105.75,138902.64434338213,138902.64434338213,2853.3054487293116
CMX-2,C2 COM1,96.35000000000001,96.35000000000001,42364.606518932356,42364.606518932356,2728.0871575912292
RSA-5,R10A RES2,65.8,65.8,88418.78354281913,88418.78354281913,1129.4522525942618
RM-1,R9 RES3,345.45,350.15000000000003,154830.68406339138,156821.36428706357,4167.8958476499765
CMX-1,C1 COM1,2.35,2.35,2884.931900393223,2884.931900393223,669.9303470653214
CMX-1,C1 COM1,2.35,2.35,3269.178852785497,3269.178852785497,1238.4320015527467
RSA-5,R10A RES2,54.050000000000004,54.050000000000004,72348.33199570792,72348.33199570792,1142.9713287107174
I-2,G2 IND3,0.0,0.0,7857319.039802858,7857319.039802858,3826.249744830832
RM-1,R9 RES3,251.45000000000002,256.15000000000003,112864.78755424099,114315.90625136698,4195.840960685628
CMX-1,C1 COM1,2.35,2.35,3013.1876990408973,3013.1876990408973,493.50692738824654
